Date,Time,Month,Season,Shape,Spacing_cm,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2024-11-01,06:00,November,Winter,Inverted-V,93,96.55,25.48,22.89,83.99,0.14,67.2,0.12,8.0,0.67
2024-11-01,06:15,November,Winter,Inverted-V,93,96.55,25.48,22.89,83.99,0.14,67.2,0.12,8.0,0.67
2024-11-01,06:30,November,Winter,Inverted-V,93,96.55,25.48,22.89,83.99,0.14,67.2,0.12,8.0,0.67
2024-11-01,06:45,November,Winter,Inverted-V,93,96.55,25.48,22.89,83.99,0.14,67.2,0.12,8.0,0.67
2024-11-01,07:00,November,Winter,Inverted-V,93,293.49,26.43,28.77,82.14,0.43,65.71,0.36,23.93,0.67
2024-11-01,07:15,November,Winter,Inverted-V,93,293.49,26.43,28.77,82.14,0.43,65.71,0.36,23.93,0.67
2024-11-01,07:30,November,Winter,Inverted-V,93,293.49,26.43,28.77,82.14,0.43,65.71,0.36,23.93,0.67
2024-11-01,07:45,November,Winter,Inverted-V,93,293.49,26.43,28.77,82.14,0.43,65.71,0.36,23.93,0.67
2024-11-01,08:00,November,Winter,Inverted-V,93,522.13,27.71,35.76,79.92,0.78,63.94,0.65,41.71,0.67
2024-11-01,08:15,November,Winter,Inverted-V,93,522.13,27.71,35.76,79.92,0.78,63.94,0.65,41.71,0.67
2024-11-01,08:30,November,Winter,Inverted-V,93,522.13,27.71,35.76,79.92,0.78,63.94,0.65,41.71,0.67
2024-11-01,08:45,November,Winter,Inverted-V,93,522.13,27.71,35.76,79.92,0.78,63.94,0.65,41.71,0.67
2024-11-01,09:00,November,Winter,Inverted-V,93,708.35,29.1,41.81,78.01,1.06,62.4,0.89,55.56,0.67
2024-11-01,09:15,November,Winter,Inverted-V,93,708.35,29.1,41.81,78.01,1.06,62.4,0.89,55.56,0.67
2024-11-01,09:30,November,Winter,Inverted-V,93,708.35,29.1,41.81,78.01,1.06,62.4,0.89,55.56,0.67
2024-11-01,09:45,November,Winter,Inverted-V,93,708.35,29.1,41.81,78.01,1.06,62.4,0.89,55.56,0.67
2024-11-01,10:00,November,Winter,Inverted-V,93,820.35,30.32,45.83,76.73,1.24,61.39,1.04,63.55,0.67
2024-11-01,10:15,November,Winter,Inverted-V,93,820.35,30.32,45.83,76.73,1.24,61.39,1.04,63.55,0.67
2024-11-01,10:30,November,Winter,Inverted-V,93,820.35,30.32,45.83,76.73,1.24,61.39,1.04,63.55,0.67
2024-11-01,10:45,November,Winter,Inverted-V,93,820.35,30.32,45.83,76.73,1.24,61.39,1.04,63.55,0.67
2024-11-01,11:00,November,Winter,Inverted-V,93,814.1,31.22,46.57,76.5,1.23,61.2,1.03,62.92,0.67
2024-11-01,11:15,November,Winter,Inverted-V,93,814.1,31.22,46.57,76.5,1.23,61.2,1.03,62.92,0.67
2024-11-01,11:30,November,Winter,Inverted-V,93,814.1,31.22,46.57,76.5,1.23,61.2,1.03,62.92,0.67
2024-11-01,11:45,November,Winter,Inverted-V,93,814.1,31.22,46.57,76.5,1.23,61.2,1.03,62.92,0.67
2024-11-01,12:00,November,Winter,Inverted-V,93,706.75,31.7,44.37,77.19,1.06,61.76,0.89,55.0,0.67
2024-11-01,12:15,November,Winter,Inverted-V,93,706.75,31.7,44.37,77.19,1.06,61.76,0.89,55.0,0.67
2024-11-01,12:30,November,Winter,Inverted-V,93,706.75,31.7,44.37,77.19,1.06,61.76,0.89,55.0,0.67
2024-11-01,12:45,November,Winter,Inverted-V,93,706.75,31.7,44.37,77.19,1.06,61.76,0.89,55.0,0.67
2024-11-01,13:00,November,Winter,Inverted-V,93,462.33,31.83,38.39,79.09,0.69,63.27,0.58,36.64,0.67
2024-11-01,13:15,November,Winter,Inverted-V,93,462.33,31.83,38.39,79.09,0.69,63.27,0.58,36.64,0.67
2024-11-01,13:30,November,Winter,Inverted-V,93,462.33,31.83,38.39,79.09,0.69,63.27,0.58,36.64,0.67
2024-11-01,13:45,November,Winter,Inverted-V,93,462.33,31.83,38.39,79.09,0.69,63.27,0.58,36.64,0.67
2024-11-01,14:00,November,Winter,Inverted-V,93,296.89,31.47,33.89,80.51,0.44,64.41,0.37,23.85,0.67
2024-11-01,14:15,November,Winter,Inverted-V,93,296.89,31.47,33.89,80.51,0.44,64.41,0.37,23.85,0.67
2024-11-01,14:30,November,Winter,Inverted-V,93,296.89,31.47,33.89,80.51,0.44,64.41,0.37,23.85,0.67
2024-11-01,14:45,November,Winter,Inverted-V,93,296.89,31.47,33.89,80.51,0.44,64.41,0.37,23.85,0.67
2024-11-01,15:00,November,Winter,Inverted-V,93,181.46,31.01,30.55,81.57,0.27,65.26,0.23,14.72,0.67
2024-11-01,15:15,November,Winter,Inverted-V,93,181.46,31.01,30.55,81.57,0.27,65.26,0.23,14.72,0.67
2024-11-01,15:30,November,Winter,Inverted-V,93,181.46,31.01,30.55,81.57,0.27,65.26,0.23,14.72,0.67
2024-11-01,15:45,November,Winter,Inverted-V,93,181.46,31.01,30.55,81.57,0.27,65.26,0.23,14.72,0.67
2024-11-01,16:00,November,Winter,Inverted-V,93,73.41,30.2,27.04,82.68,0.11,66.15,0.09,6.01,0.67
2024-11-01,16:15,November,Winter,Inverted-V,93,73.41,30.2,27.04,82.68,0.11,66.15,0.09,6.01,0.67
2024-11-01,16:30,November,Winter,Inverted-V,93,73.41,30.2,27.04,82.68,0.11,66.15,0.09,6.01,0.67
2024-11-01,16:45,November,Winter,Inverted-V,93,73.41,30.2,27.04,82.68,0.11,66.15,0.09,6.01,0.67
2024-11-02,06:00,November,Winter,Inverted-V,93,86.94,25.22,22.39,84.15,0.13,67.32,0.11,7.22,0.67
2024-11-02,06:15,November,Winter,Inverted-V,93,86.94,25.22,22.39,84.15,0.13,67.32,0.11,7.22,0.67
2024-11-02,06:30,November,Winter,Inverted-V,93,86.94,25.22,22.39,84.15,0.13,67.32,0.11,7.22,0.67
2024-11-02,06:45,November,Winter,Inverted-V,93,86.94,25.22,22.39,84.15,0.13,67.32,0.11,7.22,0.67
2024-11-02,07:00,November,Winter,Inverted-V,93,262.6,25.91,27.48,82.54,0.39,66.04,0.33,21.49,0.67
2024-11-02,07:15,November,Winter,Inverted-V,93,262.6,25.91,27.48,82.54,0.39,66.04,0.33,21.49,0.67
2024-11-02,07:30,November,Winter,Inverted-V,93,262.6,25.91,27.48,82.54,0.39,66.04,0.33,21.49,0.67
2024-11-02,07:45,November,Winter,Inverted-V,93,262.6,25.91,27.48,82.54,0.39,66.04,0.33,21.49,0.67
2024-11-02,08:00,November,Winter,Inverted-V,93,489.49,26.7,33.94,80.5,0.73,64.4,0.61,39.31,0.67
2024-11-02,08:15,November,Winter,Inverted-V,93,489.49,26.7,33.94,80.5,0.73,64.4,0.61,39.31,0.67
2024-11-02,08:30,November,Winter,Inverted-V,93,489.49,26.7,33.94,80.5,0.73,64.4,0.61,39.31,0.67
2024-11-02,08:45,November,Winter,Inverted-V,93,489.49,26.7,33.94,80.5,0.73,64.4,0.61,39.31,0.67
2024-11-02,09:00,November,Winter,Inverted-V,93,617.04,27.35,37.78,79.28,0.92,63.43,0.77,49.0,0.67
2024-11-02,09:15,November,Winter,Inverted-V,93,617.04,27.35,37.78,79.28,0.92,63.43,0.77,49.0,0.67
2024-11-02,09:30,November,Winter,Inverted-V,93,617.04,27.35,37.78,79.28,0.92,63.43,0.77,49.0,0.67
2024-11-02,09:45,November,Winter,Inverted-V,93,617.04,27.35,37.78,79.28,0.92,63.43,0.77,49.0,0.67
2024-11-02,10:00,November,Winter,Inverted-V,93,702.81,27.93,40.5,78.42,1.05,62.74,0.88,55.35,0.67
2024-11-02,10:15,November,Winter,Inverted-V,93,702.81,27.93,40.5,78.42,1.05,62.74,0.88,55.35,0.67
2024-11-02,10:30,November,Winter,Inverted-V,93,702.81,27.93,40.5,78.42,1.05,62.74,0.88,55.35,0.67
2024-11-02,10:45,November,Winter,Inverted-V,93,702.81,27.93,40.5,78.42,1.05,62.74,0.88,55.35,0.67
2024-11-02,11:00,November,Winter,Inverted-V,93,705.46,28.36,41.0,78.26,1.06,62.61,0.89,55.47,0.67
2024-11-02,11:15,November,Winter,Inverted-V,93,705.46,28.36,41.0,78.26,1.06,62.61,0.89,55.47,0.67
2024-11-02,11:30,November,Winter,Inverted-V,93,705.46,28.36,41.0,78.26,1.06,62.61,0.89,55.47,0.67
2024-11-02,11:45,November,Winter,Inverted-V,93,705.46,28.36,41.0,78.26,1.06,62.61,0.89,55.47,0.67
2024-11-02,12:00,November,Winter,Inverted-V,93,594.49,28.58,38.44,79.07,0.89,63.26,0.74,47.11,0.67
2024-11-02,12:15,November,Winter,Inverted-V,93,594.49,28.58,38.44,79.07,0.89,63.26,0.74,47.11,0.67
2024-11-02,12:30,November,Winter,Inverted-V,93,594.49,28.58,38.44,79.07,0.89,63.26,0.74,47.11,0.67
2024-11-02,12:45,November,Winter,Inverted-V,93,594.49,28.58,38.44,79.07,0.89,63.26,0.74,47.11,0.67
2024-11-02,13:00,November,Winter,Inverted-V,93,507.11,28.59,36.27,79.76,0.76,63.81,0.63,40.45,0.67
2024-11-02,13:15,November,Winter,Inverted-V,93,507.11,28.59,36.27,79.76,0.76,63.81,0.63,40.45,0.67
2024-11-02,13:30,November,Winter,Inverted-V,93,507.11,28.59,36.27,79.76,0.76,63.81,0.63,40.45,0.67
2024-11-02,13:45,November,Winter,Inverted-V,93,507.11,28.59,36.27,79.76,0.76,63.81,0.63,40.45,0.67
2024-11-02,14:00,November,Winter,Inverted-V,93,316.33,28.5,31.41,81.3,0.47,65.04,0.39,25.6,0.67
2024-11-02,14:15,November,Winter,Inverted-V,93,316.33,28.5,31.41,81.3,0.47,65.04,0.39,25.6,0.67
2024-11-02,14:30,November,Winter,Inverted-V,93,316.33,28.5,31.41,81.3,0.47,65.04,0.39,25.6,0.67
2024-11-02,14:45,November,Winter,Inverted-V,93,316.33,28.5,31.41,81.3,0.47,65.04,0.39,25.6,0.67
2024-11-02,15:00,November,Winter,Inverted-V,93,177.71,28.19,27.63,82.49,0.26,66.0,0.22,14.54,0.67
2024-11-02,15:15,November,Winter,Inverted-V,93,177.71,28.19,27.63,82.49,0.26,66.0,0.22,14.54,0.67
2024-11-02,15:30,November,Winter,Inverted-V,93,177.71,28.19,27.63,82.49,0.26,66.0,0.22,14.54,0.67
2024-11-02,15:45,November,Winter,Inverted-V,93,177.71,28.19,27.63,82.49,0.26,66.0,0.22,14.54,0.67
2024-11-02,16:00,November,Winter,Inverted-V,93,76.41,27.57,24.48,83.49,0.11,66.79,0.09,6.31,0.67
2024-11-02,16:15,November,Winter,Inverted-V,93,76.41,27.57,24.48,83.49,0.11,66.79,0.09,6.31,0.67
2024-11-02,16:30,November,Winter,Inverted-V,93,76.41,27.57,24.48,83.49,0.11,66.79,0.09,6.31,0.67
2024-11-02,16:45,November,Winter,Inverted-V,93,76.41,27.57,24.48,83.49,0.11,66.79,0.09,6.31,0.67
2024-11-03,06:00,November,Winter,Inverted-V,93,104.81,24.57,22.19,84.22,0.15,67.37,0.13,8.7,0.67
2024-11-03,06:15,November,Winter,Inverted-V,93,104.81,24.57,22.19,84.22,0.15,67.37,0.13,8.7,0.67
2024-11-03,06:30,November,Winter,Inverted-V,93,104.81,24.57,22.19,84.22,0.15,67.37,0.13,8.7,0.67
2024-11-03,06:45,November,Winter,Inverted-V,93,104.81,24.57,22.19,84.22,0.15,67.37,0.13,8.7,0.67
2024-11-03,07:00,November,Winter,Inverted-V,93,300.73,25.89,28.41,82.25,0.45,65.8,0.37,24.54,0.67
2024-11-03,07:15,November,Winter,Inverted-V,93,300.73,25.89,28.41,82.25,0.45,65.8,0.37,24.54,0.67
2024-11-03,07:30,November,Winter,Inverted-V,93,300.73,25.89,28.41,82.25,0.45,65.8,0.37,24.54,0.67
2024-11-03,07:45,November,Winter,Inverted-V,93,300.73,25.89,28.41,82.25,0.45,65.8,0.37,24.54,0.67
2024-11-03,08:00,November,Winter,Inverted-V,93,519.39,26.89,34.87,80.2,0.77,64.16,0.65,41.6,0.67
2024-11-03,08:15,November,Winter,Inverted-V,93,519.39,26.89,34.87,80.2,0.77,64.16,0.65,41.6,0.67
2024-11-03,08:30,November,Winter,Inverted-V,93,519.39,26.89,34.87,80.2,0.77,64.16,0.65,41.6,0.67
2024-11-03,08:45,November,Winter,Inverted-V,93,519.39,26.89,34.87,80.2,0.77,64.16,0.65,41.6,0.67
2024-11-03,09:00,November,Winter,Inverted-V,93,648.7,27.73,38.95,78.91,0.97,63.13,0.81,51.33,0.67
2024-11-03,09:15,November,Winter,Inverted-V,93,648.7,27.73,38.95,78.91,0.97,63.13,0.81,51.33,0.67
2024-11-03,09:30,November,Winter,Inverted-V,93,648.7,27.73,38.95,78.91,0.97,63.13,0.81,51.33,0.67
2024-11-03,09:45,November,Winter,Inverted-V,93,648.7,27.73,38.95,78.91,0.97,63.13,0.81,51.33,0.67
2024-11-03,10:00,November,Winter,Inverted-V,93,733.23,28.37,41.7,78.04,1.1,62.43,0.92,57.53,0.67
2024-11-03,10:15,November,Winter,Inverted-V,93,733.23,28.37,41.7,78.04,1.1,62.43,0.92,57.53,0.67
2024-11-03,10:30,November,Winter,Inverted-V,93,733.23,28.37,41.7,78.04,1.1,62.43,0.92,57.53,0.67
2024-11-03,10:45,November,Winter,Inverted-V,93,733.23,28.37,41.7,78.04,1.1,62.43,0.92,57.53,0.67
2024-11-03,11:00,November,Winter,Inverted-V,93,690.82,28.66,40.93,78.28,1.04,62.63,0.87,54.33,0.67
2024-11-03,11:15,November,Winter,Inverted-V,93,690.82,28.66,40.93,78.28,1.04,62.63,0.87,54.33,0.67
2024-11-03,11:30,November,Winter,Inverted-V,93,690.82,28.66,40.93,78.28,1.04,62.63,0.87,54.33,0.67
2024-11-03,11:45,November,Winter,Inverted-V,93,690.82,28.66,40.93,78.28,1.04,62.63,0.87,54.33,0.67
2024-11-03,12:00,November,Winter,Inverted-V,93,657.23,28.68,40.11,78.54,0.98,62.83,0.82,51.82,0.67
2024-11-03,12:15,November,Winter,Inverted-V,93,657.23,28.68,40.11,78.54,0.98,62.83,0.82,51.82,0.67
2024-11-03,12:30,November,Winter,Inverted-V,93,657.23,28.68,40.11,78.54,0.98,62.83,0.82,51.82,0.67
2024-11-03,12:45,November,Winter,Inverted-V,93,657.23,28.68,40.11,78.54,0.98,62.83,0.82,51.82,0.67
2024-11-03,13:00,November,Winter,Inverted-V,93,528.71,28.54,36.76,79.6,0.79,63.68,0.66,42.11,0.67
2024-11-03,13:15,November,Winter,Inverted-V,93,528.71,28.54,36.76,79.6,0.79,63.68,0.66,42.11,0.67
2024-11-03,13:30,November,Winter,Inverted-V,93,528.71,28.54,36.76,79.6,0.79,63.68,0.66,42.11,0.67
2024-11-03,13:45,November,Winter,Inverted-V,93,528.71,28.54,36.76,79.6,0.79,63.68,0.66,42.11,0.67
2024-11-03,14:00,November,Winter,Inverted-V,93,428.4,28.34,34.05,80.46,0.64,64.37,0.53,34.4,0.67
2024-11-03,14:15,November,Winter,Inverted-V,93,428.4,28.34,34.05,80.46,0.64,64.37,0.53,34.4,0.67
2024-11-03,14:30,November,Winter,Inverted-V,93,428.4,28.34,34.05,80.46,0.64,64.37,0.53,34.4,0.67
2024-11-03,14:45,November,Winter,Inverted-V,93,428.4,28.34,34.05,80.46,0.64,64.37,0.53,34.4,0.67
2024-11-03,15:00,November,Winter,Inverted-V,93,258.47,28.02,29.48,81.91,0.38,65.53,0.32,21.03,0.67
2024-11-03,15:15,November,Winter,Inverted-V,93,258.47,28.02,29.48,81.91,0.38,65.53,0.32,21.03,0.67
2024-11-03,15:30,November,Winter,Inverted-V,93,258.47,28.02,29.48,81.91,0.38,65.53,0.32,21.03,0.67
2024-11-03,15:45,November,Winter,Inverted-V,93,258.47,28.02,29.48,81.91,0.38,65.53,0.32,21.03,0.67
2024-11-03,16:00,November,Winter,Inverted-V,93,94.72,27.55,24.92,83.35,0.14,66.68,0.12,7.81,0.67
2024-11-03,16:15,November,Winter,Inverted-V,93,94.72,27.55,24.92,83.35,0.14,66.68,0.12,7.81,0.67
2024-11-03,16:30,November,Winter,Inverted-V,93,94.72,27.55,24.92,83.35,0.14,66.68,0.12,7.81,0.67
2024-11-03,16:45,November,Winter,Inverted-V,93,94.72,27.55,24.92,83.35,0.14,66.68,0.12,7.81,0.67
2024-11-04,06:00,November,Winter,Inverted-V,93,116.05,24.19,22.09,84.25,0.17,67.4,0.14,9.64,0.67
2024-11-04,06:15,November,Winter,Inverted-V,93,116.05,24.19,22.09,84.25,0.17,67.4,0.14,9.64,0.67
2024-11-04,06:30,November,Winter,Inverted-V,93,116.05,24.19,22.09,84.25,0.17,67.4,0.14,9.64,0.67
2024-11-04,06:45,November,Winter,Inverted-V,93,116.05,24.19,22.09,84.25,0.17,67.4,0.14,9.64,0.67
2024-11-04,07:00,November,Winter,Inverted-V,93,329.67,25.69,28.93,82.08,0.49,65.67,0.41,26.87,0.67
2024-11-04,07:15,November,Winter,Inverted-V,93,329.67,25.69,28.93,82.08,0.49,65.67,0.41,26.87,0.67
2024-11-04,07:30,November,Winter,Inverted-V,93,329.67,25.69,28.93,82.08,0.49,65.67,0.41,26.87,0.67
2024-11-04,07:45,November,Winter,Inverted-V,93,329.67,25.69,28.93,82.08,0.49,65.67,0.41,26.87,0.67
2024-11-04,08:00,November,Winter,Inverted-V,93,553.5,27.25,36.09,79.82,0.83,63.85,0.69,44.17,0.67
2024-11-04,08:15,November,Winter,Inverted-V,93,553.5,27.25,36.09,79.82,0.83,63.85,0.69,44.17,0.67
2024-11-04,08:30,November,Winter,Inverted-V,93,553.5,27.25,36.09,79.82,0.83,63.85,0.69,44.17,0.67
2024-11-04,08:45,November,Winter,Inverted-V,93,553.5,27.25,36.09,79.82,0.83,63.85,0.69,44.17,0.67
2024-11-04,09:00,November,Winter,Inverted-V,93,733.56,28.61,41.95,77.96,1.1,62.37,0.92,57.51,0.67
2024-11-04,09:15,November,Winter,Inverted-V,93,733.56,28.61,41.95,77.96,1.1,62.37,0.92,57.51,0.67
2024-11-04,09:30,November,Winter,Inverted-V,93,733.56,28.61,41.95,77.96,1.1,62.37,0.92,57.51,0.67
2024-11-04,09:45,November,Winter,Inverted-V,93,733.56,28.61,41.95,77.96,1.1,62.37,0.92,57.51,0.67
2024-11-04,10:00,November,Winter,Inverted-V,93,724.14,29.58,42.68,77.73,1.09,62.18,0.91,56.65,0.67
2024-11-04,10:15,November,Winter,Inverted-V,93,724.14,29.58,42.68,77.73,1.09,62.18,0.91,56.65,0.67
2024-11-04,10:30,November,Winter,Inverted-V,93,724.14,29.58,42.68,77.73,1.09,62.18,0.91,56.65,0.67
2024-11-04,10:45,November,Winter,Inverted-V,93,724.14,29.58,42.68,77.73,1.09,62.18,0.91,56.65,0.67
2024-11-04,11:00,November,Winter,Inverted-V,93,843.57,30.1,46.19,76.62,1.27,61.29,1.06,65.27,0.67
2024-11-04,11:15,November,Winter,Inverted-V,93,843.57,30.1,46.19,76.62,1.27,61.29,1.06,65.27,0.67
2024-11-04,11:30,November,Winter,Inverted-V,93,843.57,30.1,46.19,76.62,1.27,61.29,1.06,65.27,0.67
2024-11-04,11:45,November,Winter,Inverted-V,93,843.57,30.1,46.19,76.62,1.27,61.29,1.06,65.27,0.67
2024-11-04,12:00,November,Winter,Inverted-V,93,599.62,30.38,40.37,78.46,0.9,62.77,0.75,47.24,0.67
2024-11-04,12:15,November,Winter,Inverted-V,93,599.62,30.38,40.37,78.46,0.9,62.77,0.75,47.24,0.67
2024-11-04,12:30,November,Winter,Inverted-V,93,599.62,30.38,40.37,78.46,0.9,62.77,0.75,47.24,0.67
2024-11-04,12:45,November,Winter,Inverted-V,93,599.62,30.38,40.37,78.46,0.9,62.77,0.75,47.24,0.67
2024-11-04,13:00,November,Winter,Inverted-V,93,421.18,30.45,35.98,79.85,0.63,63.88,0.53,33.62,0.67
2024-11-04,13:15,November,Winter,Inverted-V,93,421.18,30.45,35.98,79.85,0.63,63.88,0.53,33.62,0.67
2024-11-04,13:30,November,Winter,Inverted-V,93,421.18,30.45,35.98,79.85,0.63,63.88,0.53,33.62,0.67
2024-11-04,13:45,November,Winter,Inverted-V,93,421.18,30.45,35.98,79.85,0.63,63.88,0.53,33.62,0.67
2024-11-04,14:00,November,Winter,Inverted-V,93,257.04,30.23,31.66,81.22,0.38,64.98,0.32,20.78,0.67
2024-11-04,14:15,November,Winter,Inverted-V,93,257.04,30.23,31.66,81.22,0.38,64.98,0.32,20.78,0.67
2024-11-04,14:30,November,Winter,Inverted-V,93,257.04,30.23,31.66,81.22,0.38,64.98,0.32,20.78,0.67
2024-11-04,14:45,November,Winter,Inverted-V,93,257.04,30.23,31.66,81.22,0.38,64.98,0.32,20.78,0.67
2024-11-04,15:00,November,Winter,Inverted-V,93,154.73,29.76,28.63,82.18,0.23,65.74,0.19,12.62,0.67
2024-11-04,15:15,November,Winter,Inverted-V,93,154.73,29.76,28.63,82.18,0.23,65.74,0.19,12.62,0.67
2024-11-04,15:30,November,Winter,Inverted-V,93,154.73,29.76,28.63,82.18,0.23,65.74,0.19,12.62,0.67
2024-11-04,15:45,November,Winter,Inverted-V,93,154.73,29.76,28.63,82.18,0.23,65.74,0.19,12.62,0.67
2024-11-04,16:00,November,Winter,Inverted-V,93,66.83,28.82,25.49,83.17,0.1,66.54,0.08,5.5,0.67
2024-11-04,16:15,November,Winter,Inverted-V,93,66.83,28.82,25.49,83.17,0.1,66.54,0.08,5.5,0.67
2024-11-04,16:30,November,Winter,Inverted-V,93,66.83,28.82,25.49,83.17,0.1,66.54,0.08,5.5,0.67
2024-11-04,16:45,November,Winter,Inverted-V,93,66.83,28.82,25.49,83.17,0.1,66.54,0.08,5.5,0.67
2024-11-05,06:00,November,Winter,Inverted-V,93,113.05,23.78,21.61,84.4,0.17,67.52,0.14,9.4,0.67
2024-11-05,06:15,November,Winter,Inverted-V,93,113.05,23.78,21.61,84.4,0.17,67.52,0.14,9.4,0.67
2024-11-05,06:30,November,Winter,Inverted-V,93,113.05,23.78,21.61,84.4,0.17,67.52,0.14,9.4,0.67
2024-11-05,06:45,November,Winter,Inverted-V,93,113.05,23.78,21.61,84.4,0.17,67.52,0.14,9.4,0.67
2024-11-05,07:00,November,Winter,Inverted-V,93,337.21,24.94,28.37,82.26,0.5,65.81,0.42,27.52,0.67
2024-11-05,07:15,November,Winter,Inverted-V,93,337.21,24.94,28.37,82.26,0.5,65.81,0.42,27.52,0.67
2024-11-05,07:30,November,Winter,Inverted-V,93,337.21,24.94,28.37,82.26,0.5,65.81,0.42,27.52,0.67
2024-11-05,07:45,November,Winter,Inverted-V,93,337.21,24.94,28.37,82.26,0.5,65.81,0.42,27.52,0.67
2024-11-05,08:00,November,Winter,Inverted-V,93,571.48,26.7,35.99,79.85,0.85,63.88,0.71,45.62,0.67
2024-11-05,08:15,November,Winter,Inverted-V,93,571.48,26.7,35.99,79.85,0.85,63.88,0.71,45.62,0.67
2024-11-05,08:30,November,Winter,Inverted-V,93,571.48,26.7,35.99,79.85,0.85,63.88,0.71,45.62,0.67
2024-11-05,08:45,November,Winter,Inverted-V,93,571.48,26.7,35.99,79.85,0.85,63.88,0.71,45.62,0.67
2024-11-05,09:00,November,Winter,Inverted-V,93,762.59,28.26,42.32,77.84,1.15,62.27,0.96,59.72,0.67
2024-11-05,09:15,November,Winter,Inverted-V,93,762.59,28.26,42.32,77.84,1.15,62.27,0.96,59.72,0.67
2024-11-05,09:30,November,Winter,Inverted-V,93,762.59,28.26,42.32,77.84,1.15,62.27,0.96,59.72,0.67
2024-11-05,09:45,November,Winter,Inverted-V,93,762.59,28.26,42.32,77.84,1.15,62.27,0.96,59.72,0.67
2024-11-05,10:00,November,Winter,Inverted-V,93,891.45,29.42,46.71,76.45,1.34,61.16,1.13,68.86,0.67
2024-11-05,10:15,November,Winter,Inverted-V,93,891.45,29.42,46.71,76.45,1.34,61.16,1.13,68.86,0.67
2024-11-05,10:30,November,Winter,Inverted-V,93,891.45,29.42,46.71,76.45,1.34,61.16,1.13,68.86,0.67
2024-11-05,10:45,November,Winter,Inverted-V,93,891.45,29.42,46.71,76.45,1.34,61.16,1.13,68.86,0.67
2024-11-05,11:00,November,Winter,Inverted-V,93,919.17,30.24,48.22,75.98,1.39,60.78,1.16,70.66,0.67
2024-11-05,11:15,November,Winter,Inverted-V,93,919.17,30.24,48.22,75.98,1.39,60.78,1.16,70.66,0.67
2024-11-05,11:30,November,Winter,Inverted-V,93,919.17,30.24,48.22,75.98,1.39,60.78,1.16,70.66,0.67
2024-11-05,11:45,November,Winter,Inverted-V,93,919.17,30.24,48.22,75.98,1.39,60.78,1.16,70.66,0.67
2024-11-05,12:00,November,Winter,Inverted-V,93,905.13,30.77,48.4,75.92,1.37,60.74,1.15,69.54,0.67
2024-11-05,12:15,November,Winter,Inverted-V,93,905.13,30.77,48.4,75.92,1.37,60.74,1.15,69.54,0.67
2024-11-05,12:30,November,Winter,Inverted-V,93,905.13,30.77,48.4,75.92,1.37,60.74,1.15,69.54,0.67
2024-11-05,12:45,November,Winter,Inverted-V,93,905.13,30.77,48.4,75.92,1.37,60.74,1.15,69.54,0.67
2024-11-05,13:00,November,Winter,Inverted-V,93,682.2,30.95,43.01,77.63,1.03,62.1,0.86,53.31,0.67
2024-11-05,13:15,November,Winter,Inverted-V,93,682.2,30.95,43.01,77.63,1.03,62.1,0.86,53.31,0.67
2024-11-05,13:30,November,Winter,Inverted-V,93,682.2,30.95,43.01,77.63,1.03,62.1,0.86,53.31,0.67
2024-11-05,13:45,November,Winter,Inverted-V,93,682.2,30.95,43.01,77.63,1.03,62.1,0.86,53.31,0.67
2024-11-05,14:00,November,Winter,Inverted-V,93,586.31,30.75,40.41,78.45,0.88,62.76,0.74,46.19,0.67
2024-11-05,14:15,November,Winter,Inverted-V,93,586.31,30.75,40.41,78.45,0.88,62.76,0.74,46.19,0.67
2024-11-05,14:30,November,Winter,Inverted-V,93,586.31,30.75,40.41,78.45,0.88,62.76,0.74,46.19,0.67
2024-11-05,14:45,November,Winter,Inverted-V,93,586.31,30.75,40.41,78.45,0.88,62.76,0.74,46.19,0.67
2024-11-05,15:00,November,Winter,Inverted-V,93,370.93,30.3,34.57,80.3,0.55,64.24,0.46,29.74,0.67
2024-11-05,15:15,November,Winter,Inverted-V,93,370.93,30.3,34.57,80.3,0.55,64.24,0.46,29.74,0.67
2024-11-05,15:30,November,Winter,Inverted-V,93,370.93,30.3,34.57,80.3,0.55,64.24,0.46,29.74,0.67
2024-11-05,15:45,November,Winter,Inverted-V,93,370.93,30.3,34.57,80.3,0.55,64.24,0.46,29.74,0.67
2024-11-05,16:00,November,Winter,Inverted-V,93,135.7,29.33,27.72,82.47,0.2,65.97,0.17,11.1,0.67
2024-11-05,16:15,November,Winter,Inverted-V,93,135.7,29.33,27.72,82.47,0.2,65.97,0.17,11.1,0.67
2024-11-05,16:30,November,Winter,Inverted-V,93,135.7,29.33,27.72,82.47,0.2,65.97,0.17,11.1,0.67
2024-11-05,16:45,November,Winter,Inverted-V,93,135.7,29.33,27.72,82.47,0.2,65.97,0.17,11.1,0.67
2024-11-05,17:00,November,Winter,Inverted-V,93,5.81,27.43,22.58,84.1,0.01,67.28,0.01,0.48,0.67
2024-11-05,17:15,November,Winter,Inverted-V,93,5.81,27.43,22.58,84.1,0.01,67.28,0.01,0.48,0.67
2024-11-05,17:30,November,Winter,Inverted-V,93,5.81,27.43,22.58,84.1,0.01,67.28,0.01,0.48,0.67
2024-11-05,17:45,November,Winter,Inverted-V,93,5.81,27.43,22.58,84.1,0.01,67.28,0.01,0.48,0.67
