Date,Time,Month,Season,Shape,Spacing_cm,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2024-02-01,06:00,February,Spring,V-Shape,62,19.11,23.29,26.77,82.77,0.03,66.21,0.02,1.57,0.67
2024-02-01,06:15,February,Spring,V-Shape,62,19.11,23.29,26.77,82.77,0.03,66.21,0.02,1.57,0.67
2024-02-01,06:30,February,Spring,V-Shape,62,19.11,23.29,26.77,82.77,0.03,66.21,0.02,1.57,0.67
2024-02-01,06:45,February,Spring,V-Shape,62,19.11,23.29,26.77,82.77,0.03,66.21,0.02,1.57,0.67
2024-02-01,07:00,February,Spring,V-Shape,62,137.5,24.86,31.3,81.33,0.2,65.07,0.17,11.13,0.67
2024-02-01,07:15,February,Spring,V-Shape,62,137.5,24.86,31.3,81.33,0.2,65.07,0.17,11.13,0.67
2024-02-01,07:30,February,Spring,V-Shape,62,137.5,24.86,31.3,81.33,0.2,65.07,0.17,11.13,0.67
2024-02-01,07:45,February,Spring,V-Shape,62,137.5,24.86,31.3,81.33,0.2,65.07,0.17,11.13,0.67
2024-02-01,08:00,February,Spring,V-Shape,62,303.24,26.88,37.46,79.38,0.45,63.51,0.38,24.1,0.67
2024-02-01,08:15,February,Spring,V-Shape,62,303.24,26.88,37.46,79.38,0.45,63.51,0.38,24.1,0.67
2024-02-01,08:30,February,Spring,V-Shape,62,303.24,26.88,37.46,79.38,0.45,63.51,0.38,24.1,0.67
2024-02-01,08:45,February,Spring,V-Shape,62,303.24,26.88,37.46,79.38,0.45,63.51,0.38,24.1,0.67
2024-02-01,09:00,February,Spring,V-Shape,62,408.66,29.25,42.47,77.8,0.61,62.24,0.51,31.99,0.67
2024-02-01,09:15,February,Spring,V-Shape,62,408.66,29.25,42.47,77.8,0.61,62.24,0.51,31.99,0.67
2024-02-01,09:30,February,Spring,V-Shape,62,408.66,29.25,42.47,77.8,0.61,62.24,0.51,31.99,0.67
2024-02-01,09:45,February,Spring,V-Shape,62,408.66,29.25,42.47,77.8,0.61,62.24,0.51,31.99,0.67
2024-02-01,10:00,February,Spring,V-Shape,62,613.67,31.04,49.38,75.61,0.93,60.49,0.78,47.0,0.67
2024-02-01,10:15,February,Spring,V-Shape,62,613.67,31.04,49.38,75.61,0.93,60.49,0.78,47.0,0.67
2024-02-01,10:30,February,Spring,V-Shape,62,613.67,31.04,49.38,75.61,0.93,60.49,0.78,47.0,0.67
2024-02-01,10:45,February,Spring,V-Shape,62,613.67,31.04,49.38,75.61,0.93,60.49,0.78,47.0,0.67
2024-02-01,11:00,February,Spring,V-Shape,62,717.33,32.21,53.14,74.42,1.09,59.53,0.91,54.28,0.67
2024-02-01,11:15,February,Spring,V-Shape,62,717.33,32.21,53.14,74.42,1.09,59.53,0.91,54.28,0.67
2024-02-01,11:30,February,Spring,V-Shape,62,717.33,32.21,53.14,74.42,1.09,59.53,0.91,54.28,0.67
2024-02-01,11:45,February,Spring,V-Shape,62,717.33,32.21,53.14,74.42,1.09,59.53,0.91,54.28,0.67
2024-02-01,12:00,February,Spring,V-Shape,62,704.95,32.86,53.48,74.31,1.07,59.45,0.9,53.28,0.67
2024-02-01,12:15,February,Spring,V-Shape,62,704.95,32.86,53.48,74.31,1.07,59.45,0.9,53.28,0.67
2024-02-01,12:30,February,Spring,V-Shape,62,704.95,32.86,53.48,74.31,1.07,59.45,0.9,53.28,0.67
2024-02-01,12:45,February,Spring,V-Shape,62,704.95,32.86,53.48,74.31,1.07,59.45,0.9,53.28,0.67
2024-02-01,13:00,February,Spring,V-Shape,62,547.52,33.05,49.74,75.49,0.83,60.4,0.69,41.89,0.67
2024-02-01,13:15,February,Spring,V-Shape,62,547.52,33.05,49.74,75.49,0.83,60.4,0.69,41.89,0.67
2024-02-01,13:30,February,Spring,V-Shape,62,547.52,33.05,49.74,75.49,0.83,60.4,0.69,41.89,0.67
2024-02-01,13:45,February,Spring,V-Shape,62,547.52,33.05,49.74,75.49,0.83,60.4,0.69,41.89,0.67
2024-02-01,14:00,February,Spring,V-Shape,62,562.67,32.74,49.81,75.47,0.85,60.38,0.71,43.04,0.67
2024-02-01,14:15,February,Spring,V-Shape,62,562.67,32.74,49.81,75.47,0.85,60.38,0.71,43.04,0.67
2024-02-01,14:30,February,Spring,V-Shape,62,562.67,32.74,49.81,75.47,0.85,60.38,0.71,43.04,0.67
2024-02-01,14:45,February,Spring,V-Shape,62,562.67,32.74,49.81,75.47,0.85,60.38,0.71,43.04,0.67
2024-02-01,15:00,February,Spring,V-Shape,62,403.62,32.07,45.16,76.94,0.61,61.56,0.51,31.33,0.67
2024-02-01,15:15,February,Spring,V-Shape,62,403.62,32.07,45.16,76.94,0.61,61.56,0.51,31.33,0.67
2024-02-01,15:30,February,Spring,V-Shape,62,403.62,32.07,45.16,76.94,0.61,61.56,0.51,31.33,0.67
2024-02-01,15:45,February,Spring,V-Shape,62,403.62,32.07,45.16,76.94,0.61,61.56,0.51,31.33,0.67
2024-02-01,16:00,February,Spring,V-Shape,62,195.28,30.66,38.54,79.04,0.29,63.23,0.24,15.47,0.67
2024-02-01,16:15,February,Spring,V-Shape,62,195.28,30.66,38.54,79.04,0.29,63.23,0.24,15.47,0.67
2024-02-01,16:30,February,Spring,V-Shape,62,195.28,30.66,38.54,79.04,0.29,63.23,0.24,15.47,0.67
2024-02-01,16:45,February,Spring,V-Shape,62,195.28,30.66,38.54,79.04,0.29,63.23,0.24,15.47,0.67
2024-02-01,17:00,February,Spring,V-Shape,62,34.76,28.19,32.06,81.09,0.05,64.87,0.04,2.81,0.67
2024-02-01,17:15,February,Spring,V-Shape,62,34.76,28.19,32.06,81.09,0.05,64.87,0.04,2.81,0.67
2024-02-01,17:30,February,Spring,V-Shape,62,34.76,28.19,32.06,81.09,0.05,64.87,0.04,2.81,0.67
2024-02-01,17:45,February,Spring,V-Shape,62,34.76,28.19,32.06,81.09,0.05,64.87,0.04,2.81,0.67
2024-02-02,06:00,February,Spring,V-Shape,62,24.36,24.01,27.62,82.5,0.04,66.0,0.03,1.99,0.67
2024-02-02,06:15,February,Spring,V-Shape,62,24.36,24.01,27.62,82.5,0.04,66.0,0.03,1.99,0.67
2024-02-02,06:30,February,Spring,V-Shape,62,24.36,24.01,27.62,82.5,0.04,66.0,0.03,1.99,0.67
2024-02-02,06:45,February,Spring,V-Shape,62,24.36,24.01,27.62,82.5,0.04,66.0,0.03,1.99,0.67
2024-02-02,07:00,February,Spring,V-Shape,62,171.62,25.54,32.83,80.85,0.26,64.68,0.21,13.83,0.67
2024-02-02,07:15,February,Spring,V-Shape,62,171.62,25.54,32.83,80.85,0.26,64.68,0.21,13.83,0.67
2024-02-02,07:30,February,Spring,V-Shape,62,171.62,25.54,32.83,80.85,0.26,64.68,0.21,13.83,0.67
2024-02-02,07:45,February,Spring,V-Shape,62,171.62,25.54,32.83,80.85,0.26,64.68,0.21,13.83,0.67
2024-02-02,08:00,February,Spring,V-Shape,62,360.5,27.6,39.61,78.7,0.54,62.96,0.45,28.47,0.67
2024-02-02,08:15,February,Spring,V-Shape,62,360.5,27.6,39.61,78.7,0.54,62.96,0.45,28.47,0.67
2024-02-02,08:30,February,Spring,V-Shape,62,360.5,27.6,39.61,78.7,0.54,62.96,0.45,28.47,0.67
2024-02-02,08:45,February,Spring,V-Shape,62,360.5,27.6,39.61,78.7,0.54,62.96,0.45,28.47,0.67
2024-02-02,09:00,February,Spring,V-Shape,62,572.33,29.71,47.02,76.36,0.86,61.08,0.72,44.17,0.67
2024-02-02,09:15,February,Spring,V-Shape,62,572.33,29.71,47.02,76.36,0.86,61.08,0.72,44.17,0.67
2024-02-02,09:30,February,Spring,V-Shape,62,572.33,29.71,47.02,76.36,0.86,61.08,0.72,44.17,0.67
2024-02-02,09:45,February,Spring,V-Shape,62,572.33,29.71,47.02,76.36,0.86,61.08,0.72,44.17,0.67
2024-02-02,10:00,February,Spring,V-Shape,62,741.04,31.13,52.66,74.57,1.12,59.66,0.94,56.16,0.67
2024-02-02,10:15,February,Spring,V-Shape,62,741.04,31.13,52.66,74.57,1.12,59.66,0.94,56.16,0.67
2024-02-02,10:30,February,Spring,V-Shape,62,741.04,31.13,52.66,74.57,1.12,59.66,0.94,56.16,0.67
2024-02-02,10:45,February,Spring,V-Shape,62,741.04,31.13,52.66,74.57,1.12,59.66,0.94,56.16,0.67
2024-02-02,11:00,February,Spring,V-Shape,62,831.68,32.18,55.97,73.52,1.27,58.82,1.06,62.34,0.67
2024-02-02,11:15,February,Spring,V-Shape,62,831.68,32.18,55.97,73.52,1.27,58.82,1.06,62.34,0.67
2024-02-02,11:30,February,Spring,V-Shape,62,831.68,32.18,55.97,73.52,1.27,58.82,1.06,62.34,0.67
2024-02-02,11:45,February,Spring,V-Shape,62,831.68,32.18,55.97,73.52,1.27,58.82,1.06,62.34,0.67
2024-02-02,12:00,February,Spring,V-Shape,62,753.87,32.84,54.69,73.93,1.15,59.14,0.96,56.75,0.67
2024-02-02,12:15,February,Spring,V-Shape,62,753.87,32.84,54.69,73.93,1.15,59.14,0.96,56.75,0.67
2024-02-02,12:30,February,Spring,V-Shape,62,753.87,32.84,54.69,73.93,1.15,59.14,0.96,56.75,0.67
2024-02-02,12:45,February,Spring,V-Shape,62,753.87,32.84,54.69,73.93,1.15,59.14,0.96,56.75,0.67
2024-02-02,13:00,February,Spring,V-Shape,62,728.81,33.1,54.32,74.04,1.11,59.24,0.93,54.93,0.67
2024-02-02,13:15,February,Spring,V-Shape,62,728.81,33.1,54.32,74.04,1.11,59.24,0.93,54.93,0.67
2024-02-02,13:30,February,Spring,V-Shape,62,728.81,33.1,54.32,74.04,1.11,59.24,0.93,54.93,0.67
2024-02-02,13:45,February,Spring,V-Shape,62,728.81,33.1,54.32,74.04,1.11,59.24,0.93,54.93,0.67
2024-02-02,14:00,February,Spring,V-Shape,62,584.67,32.94,50.56,75.24,0.89,60.19,0.74,44.61,0.67
2024-02-02,14:15,February,Spring,V-Shape,62,584.67,32.94,50.56,75.24,0.89,60.19,0.74,44.61,0.67
2024-02-02,14:30,February,Spring,V-Shape,62,584.67,32.94,50.56,75.24,0.89,60.19,0.74,44.61,0.67
2024-02-02,14:45,February,Spring,V-Shape,62,584.67,32.94,50.56,75.24,0.89,60.19,0.74,44.61,0.67
2024-02-02,15:00,February,Spring,V-Shape,62,374.61,32.33,44.7,77.09,0.56,61.67,0.47,29.12,0.67
2024-02-02,15:15,February,Spring,V-Shape,62,374.61,32.33,44.7,77.09,0.56,61.67,0.47,29.12,0.67
2024-02-02,15:30,February,Spring,V-Shape,62,374.61,32.33,44.7,77.09,0.56,61.67,0.47,29.12,0.67
2024-02-02,15:45,February,Spring,V-Shape,62,374.61,32.33,44.7,77.09,0.56,61.67,0.47,29.12,0.67
2024-02-02,16:00,February,Spring,V-Shape,62,183.49,30.97,38.56,79.04,0.27,63.23,0.23,14.54,0.67
2024-02-02,16:15,February,Spring,V-Shape,62,183.49,30.97,38.56,79.04,0.27,63.23,0.23,14.54,0.67
2024-02-02,16:30,February,Spring,V-Shape,62,183.49,30.97,38.56,79.04,0.27,63.23,0.23,14.54,0.67
2024-02-02,16:45,February,Spring,V-Shape,62,183.49,30.97,38.56,79.04,0.27,63.23,0.23,14.54,0.67
2024-02-02,17:00,February,Spring,V-Shape,62,32.68,28.62,32.44,80.97,0.05,64.78,0.04,2.64,0.67
2024-02-02,17:15,February,Spring,V-Shape,62,32.68,28.62,32.44,80.97,0.05,64.78,0.04,2.64,0.67
2024-02-02,17:30,February,Spring,V-Shape,62,32.68,28.62,32.44,80.97,0.05,64.78,0.04,2.64,0.67
2024-02-02,17:45,February,Spring,V-Shape,62,32.68,28.62,32.44,80.97,0.05,64.78,0.04,2.64,0.67
2024-02-03,06:00,February,Spring,V-Shape,62,24.04,24.43,28.03,82.37,0.04,65.89,0.03,1.96,0.67
2024-02-03,06:15,February,Spring,V-Shape,62,24.04,24.43,28.03,82.37,0.04,65.89,0.03,1.96,0.67
2024-02-03,06:30,February,Spring,V-Shape,62,24.04,24.43,28.03,82.37,0.04,65.89,0.03,1.96,0.67
2024-02-03,06:45,February,Spring,V-Shape,62,24.04,24.43,28.03,82.37,0.04,65.89,0.03,1.96,0.67
2024-02-03,07:00,February,Spring,V-Shape,62,192.88,26.65,34.47,80.33,0.29,64.26,0.24,15.47,0.67
2024-02-03,07:15,February,Spring,V-Shape,62,192.88,26.65,34.47,80.33,0.29,64.26,0.24,15.47,0.67
2024-02-03,07:30,February,Spring,V-Shape,62,192.88,26.65,34.47,80.33,0.29,64.26,0.24,15.47,0.67
2024-02-03,07:45,February,Spring,V-Shape,62,192.88,26.65,34.47,80.33,0.29,64.26,0.24,15.47,0.67
2024-02-03,08:00,February,Spring,V-Shape,62,414.05,28.64,41.99,77.95,0.62,62.36,0.52,32.46,0.67
2024-02-03,08:15,February,Spring,V-Shape,62,414.05,28.64,41.99,77.95,0.62,62.36,0.52,32.46,0.67
2024-02-03,08:30,February,Spring,V-Shape,62,414.05,28.64,41.99,77.95,0.62,62.36,0.52,32.46,0.67
2024-02-03,08:45,February,Spring,V-Shape,62,414.05,28.64,41.99,77.95,0.62,62.36,0.52,32.46,0.67
2024-02-03,09:00,February,Spring,V-Shape,62,650.0,30.39,49.64,75.53,0.98,60.42,0.82,49.74,0.67
2024-02-03,09:15,February,Spring,V-Shape,62,650.0,30.39,49.64,75.53,0.98,60.42,0.82,49.74,0.67
2024-02-03,09:30,February,Spring,V-Shape,62,650.0,30.39,49.64,75.53,0.98,60.42,0.82,49.74,0.67
2024-02-03,09:45,February,Spring,V-Shape,62,650.0,30.39,49.64,75.53,0.98,60.42,0.82,49.74,0.67
2024-02-03,10:00,February,Spring,V-Shape,62,807.58,31.97,55.16,73.78,1.23,59.02,1.03,60.7,0.67
2024-02-03,10:15,February,Spring,V-Shape,62,807.58,31.97,55.16,73.78,1.23,59.02,1.03,60.7,0.67
2024-02-03,10:30,February,Spring,V-Shape,62,807.58,31.97,55.16,73.78,1.23,59.02,1.03,60.7,0.67
2024-02-03,10:45,February,Spring,V-Shape,62,807.58,31.97,55.16,73.78,1.23,59.02,1.03,60.7,0.67
2024-02-03,11:00,February,Spring,V-Shape,62,925.79,33.19,59.33,72.46,1.41,57.96,1.18,68.61,0.67
2024-02-03,11:15,February,Spring,V-Shape,62,925.79,33.19,59.33,72.46,1.41,57.96,1.18,68.61,0.67
2024-02-03,11:30,February,Spring,V-Shape,62,925.79,33.19,59.33,72.46,1.41,57.96,1.18,68.61,0.67
2024-02-03,11:45,February,Spring,V-Shape,62,925.79,33.19,59.33,72.46,1.41,57.96,1.18,68.61,0.67
2024-02-03,12:00,February,Spring,V-Shape,62,934.1,33.88,60.23,72.17,1.43,57.74,1.2,69.02,0.67
2024-02-03,12:15,February,Spring,V-Shape,62,934.1,33.88,60.23,72.17,1.43,57.74,1.2,69.02,0.67
2024-02-03,12:30,February,Spring,V-Shape,62,934.1,33.88,60.23,72.17,1.43,57.74,1.2,69.02,0.67
2024-02-03,12:45,February,Spring,V-Shape,62,934.1,33.88,60.23,72.17,1.43,57.74,1.2,69.02,0.67
2024-02-03,13:00,February,Spring,V-Shape,62,863.47,34.02,58.61,72.69,1.32,58.15,1.1,64.15,0.67
2024-02-03,13:15,February,Spring,V-Shape,62,863.47,34.02,58.61,72.69,1.32,58.15,1.1,64.15,0.67
2024-02-03,13:30,February,Spring,V-Shape,62,863.47,34.02,58.61,72.69,1.32,58.15,1.1,64.15,0.67
2024-02-03,13:45,February,Spring,V-Shape,62,863.47,34.02,58.61,72.69,1.32,58.15,1.1,64.15,0.67
2024-02-03,14:00,February,Spring,V-Shape,62,712.55,33.68,54.49,73.99,1.08,59.19,0.91,53.67,0.67
2024-02-03,14:15,February,Spring,V-Shape,62,712.55,33.68,54.49,73.99,1.08,59.19,0.91,53.67,0.67
2024-02-03,14:30,February,Spring,V-Shape,62,712.55,33.68,54.49,73.99,1.08,59.19,0.91,53.67,0.67
2024-02-03,14:45,February,Spring,V-Shape,62,712.55,33.68,54.49,73.99,1.08,59.19,0.91,53.67,0.67
2024-02-03,15:00,February,Spring,V-Shape,62,507.65,32.85,48.54,75.87,0.77,60.7,0.64,38.99,0.67
2024-02-03,15:15,February,Spring,V-Shape,62,507.65,32.85,48.54,75.87,0.77,60.7,0.64,38.99,0.67
2024-02-03,15:30,February,Spring,V-Shape,62,507.65,32.85,48.54,75.87,0.77,60.7,0.64,38.99,0.67
2024-02-03,15:45,February,Spring,V-Shape,62,507.65,32.85,48.54,75.87,0.77,60.7,0.64,38.99,0.67
2024-02-03,16:00,February,Spring,V-Shape,62,259.98,31.21,40.71,78.35,0.39,62.68,0.33,20.46,0.67
2024-02-03,16:15,February,Spring,V-Shape,62,259.98,31.21,40.71,78.35,0.39,62.68,0.33,20.46,0.67
2024-02-03,16:30,February,Spring,V-Shape,62,259.98,31.21,40.71,78.35,0.39,62.68,0.33,20.46,0.67
2024-02-03,16:45,February,Spring,V-Shape,62,259.98,31.21,40.71,78.35,0.39,62.68,0.33,20.46,0.67
2024-02-03,17:00,February,Spring,V-Shape,62,45.5,28.5,32.64,80.91,0.07,64.73,0.06,3.67,0.67
2024-02-03,17:15,February,Spring,V-Shape,62,45.5,28.5,32.64,80.91,0.07,64.73,0.06,3.67,0.67
2024-02-03,17:30,February,Spring,V-Shape,62,45.5,28.5,32.64,80.91,0.07,64.73,0.06,3.67,0.67
2024-02-03,17:45,February,Spring,V-Shape,62,45.5,28.5,32.64,80.91,0.07,64.73,0.06,3.67,0.67
2024-02-04,06:00,February,Spring,V-Shape,62,31.48,23.04,26.83,82.75,0.05,66.2,0.04,2.58,0.67
2024-02-04,06:15,February,Spring,V-Shape,62,31.48,23.04,26.83,82.75,0.05,66.2,0.04,2.58,0.67
2024-02-04,06:30,February,Spring,V-Shape,62,31.48,23.04,26.83,82.75,0.05,66.2,0.04,2.58,0.67
2024-02-04,06:45,February,Spring,V-Shape,62,31.48,23.04,26.83,82.75,0.05,66.2,0.04,2.58,0.67
2024-02-04,07:00,February,Spring,V-Shape,62,241.52,25.21,34.25,80.4,0.36,64.32,0.3,19.38,0.67
2024-02-04,07:15,February,Spring,V-Shape,62,241.52,25.21,34.25,80.4,0.36,64.32,0.3,19.38,0.67
2024-02-04,07:30,February,Spring,V-Shape,62,241.52,25.21,34.25,80.4,0.36,64.32,0.3,19.38,0.67
2024-02-04,07:45,February,Spring,V-Shape,62,241.52,25.21,34.25,80.4,0.36,64.32,0.3,19.38,0.67
2024-02-04,08:00,February,Spring,V-Shape,62,482.13,27.36,42.41,77.81,0.72,62.25,0.61,37.75,0.67
2024-02-04,08:15,February,Spring,V-Shape,62,482.13,27.36,42.41,77.81,0.72,62.25,0.61,37.75,0.67
2024-02-04,08:30,February,Spring,V-Shape,62,482.13,27.36,42.41,77.81,0.72,62.25,0.61,37.75,0.67
2024-02-04,08:45,February,Spring,V-Shape,62,482.13,27.36,42.41,77.81,0.72,62.25,0.61,37.75,0.67
2024-02-04,09:00,February,Spring,V-Shape,62,706.49,29.37,50.03,75.4,1.07,60.32,0.9,54.0,0.67
2024-02-04,09:15,February,Spring,V-Shape,62,706.49,29.37,50.03,75.4,1.07,60.32,0.9,54.0,0.67
2024-02-04,09:30,February,Spring,V-Shape,62,706.49,29.37,50.03,75.4,1.07,60.32,0.9,54.0,0.67
2024-02-04,09:45,February,Spring,V-Shape,62,706.49,29.37,50.03,75.4,1.07,60.32,0.9,54.0,0.67
2024-02-04,10:00,February,Spring,V-Shape,62,872.32,31.22,56.03,73.5,1.33,58.8,1.11,65.38,0.67
2024-02-04,10:15,February,Spring,V-Shape,62,872.32,31.22,56.03,73.5,1.33,58.8,1.11,65.38,0.67
2024-02-04,10:30,February,Spring,V-Shape,62,872.32,31.22,56.03,73.5,1.33,58.8,1.11,65.38,0.67
2024-02-04,10:45,February,Spring,V-Shape,62,872.32,31.22,56.03,73.5,1.33,58.8,1.11,65.38,0.67
2024-02-04,11:00,February,Spring,V-Shape,62,962.69,32.62,59.69,72.34,1.47,57.88,1.23,71.26,0.67
2024-02-04,11:15,February,Spring,V-Shape,62,962.69,32.62,59.69,72.34,1.47,57.88,1.23,71.26,0.67
2024-02-04,11:30,February,Spring,V-Shape,62,962.69,32.62,59.69,72.34,1.47,57.88,1.23,71.26,0.67
2024-02-04,11:45,February,Spring,V-Shape,62,962.69,32.62,59.69,72.34,1.47,57.88,1.23,71.26,0.67
2024-02-04,12:00,February,Spring,V-Shape,62,969.8,33.47,60.72,72.02,1.48,57.62,1.24,71.54,0.67
2024-02-04,12:15,February,Spring,V-Shape,62,969.8,33.47,60.72,72.02,1.48,57.62,1.24,71.54,0.67
2024-02-04,12:30,February,Spring,V-Shape,62,969.8,33.47,60.72,72.02,1.48,57.62,1.24,71.54,0.67
2024-02-04,12:45,February,Spring,V-Shape,62,969.8,33.47,60.72,72.02,1.48,57.62,1.24,71.54,0.67
2024-02-04,13:00,February,Spring,V-Shape,62,892.19,33.8,59.1,72.53,1.36,58.02,1.14,66.17,0.67
2024-02-04,13:15,February,Spring,V-Shape,62,892.19,33.8,59.1,72.53,1.36,58.02,1.14,66.17,0.67
2024-02-04,13:30,February,Spring,V-Shape,62,892.19,33.8,59.1,72.53,1.36,58.02,1.14,66.17,0.67
2024-02-04,13:45,February,Spring,V-Shape,62,892.19,33.8,59.1,72.53,1.36,58.02,1.14,66.17,0.67
2024-02-04,14:00,February,Spring,V-Shape,62,738.02,33.62,55.07,73.81,1.12,59.05,0.94,55.49,0.67
2024-02-04,14:15,February,Spring,V-Shape,62,738.02,33.62,55.07,73.81,1.12,59.05,0.94,55.49,0.67
2024-02-04,14:30,February,Spring,V-Shape,62,738.02,33.62,55.07,73.81,1.12,59.05,0.94,55.49,0.67
2024-02-04,14:45,February,Spring,V-Shape,62,738.02,33.62,55.07,73.81,1.12,59.05,0.94,55.49,0.67
2024-02-04,15:00,February,Spring,V-Shape,62,522.77,32.84,48.91,75.76,0.79,60.61,0.66,40.1,0.67
2024-02-04,15:15,February,Spring,V-Shape,62,522.77,32.84,48.91,75.76,0.79,60.61,0.66,40.1,0.67
2024-02-04,15:30,February,Spring,V-Shape,62,522.77,32.84,48.91,75.76,0.79,60.61,0.66,40.1,0.67
2024-02-04,15:45,February,Spring,V-Shape,62,522.77,32.84,48.91,75.76,0.79,60.61,0.66,40.1,0.67
2024-02-04,16:00,February,Spring,V-Shape,62,274.18,31.23,41.08,78.23,0.41,62.59,0.34,21.55,0.67
2024-02-04,16:15,February,Spring,V-Shape,62,274.18,31.23,41.08,78.23,0.41,62.59,0.34,21.55,0.67
2024-02-04,16:30,February,Spring,V-Shape,62,274.18,31.23,41.08,78.23,0.41,62.59,0.34,21.55,0.67
2024-02-04,16:45,February,Spring,V-Shape,62,274.18,31.23,41.08,78.23,0.41,62.59,0.34,21.55,0.67
2024-02-04,17:00,February,Spring,V-Shape,62,50.56,27.87,32.13,81.07,0.08,64.86,0.06,4.08,0.67
2024-02-04,17:15,February,Spring,V-Shape,62,50.56,27.87,32.13,81.07,0.08,64.86,0.06,4.08,0.67
2024-02-04,17:30,February,Spring,V-Shape,62,50.56,27.87,32.13,81.07,0.08,64.86,0.06,4.08,0.67
2024-02-04,17:45,February,Spring,V-Shape,62,50.56,27.87,32.13,81.07,0.08,64.86,0.06,4.08,0.67
2024-02-05,06:00,February,Spring,V-Shape,62,33.76,21.31,25.15,83.28,0.05,66.62,0.04,2.78,0.67
2024-02-05,06:15,February,Spring,V-Shape,62,33.76,21.31,25.15,83.28,0.05,66.62,0.04,2.78,0.67
2024-02-05,06:30,February,Spring,V-Shape,62,33.76,21.31,25.15,83.28,0.05,66.62,0.04,2.78,0.67
2024-02-05,06:45,February,Spring,V-Shape,62,33.76,21.31,25.15,83.28,0.05,66.62,0.04,2.78,0.67
2024-02-05,07:00,February,Spring,V-Shape,62,243.6,24.06,33.15,80.75,0.36,64.6,0.3,19.61,0.67
2024-02-05,07:15,February,Spring,V-Shape,62,243.6,24.06,33.15,80.75,0.36,64.6,0.3,19.61,0.67
2024-02-05,07:30,February,Spring,V-Shape,62,243.6,24.06,33.15,80.75,0.36,64.6,0.3,19.61,0.67
2024-02-05,07:45,February,Spring,V-Shape,62,243.6,24.06,33.15,80.75,0.36,64.6,0.3,19.61,0.67
2024-02-05,08:00,February,Spring,V-Shape,62,496.15,26.54,41.94,77.96,0.74,62.37,0.62,38.9,0.67
2024-02-05,08:15,February,Spring,V-Shape,62,496.15,26.54,41.94,77.96,0.74,62.37,0.62,38.9,0.67
2024-02-05,08:30,February,Spring,V-Shape,62,496.15,26.54,41.94,77.96,0.74,62.37,0.62,38.9,0.67
2024-02-05,08:45,February,Spring,V-Shape,62,496.15,26.54,41.94,77.96,0.74,62.37,0.62,38.9,0.67
2024-02-05,09:00,February,Spring,V-Shape,62,717.89,28.64,49.59,75.54,1.09,60.43,0.91,54.95,0.67
2024-02-05,09:15,February,Spring,V-Shape,62,717.89,28.64,49.59,75.54,1.09,60.43,0.91,54.95,0.67
2024-02-05,09:30,February,Spring,V-Shape,62,717.89,28.64,49.59,75.54,1.09,60.43,0.91,54.95,0.67
2024-02-05,09:45,February,Spring,V-Shape,62,717.89,28.64,49.59,75.54,1.09,60.43,0.91,54.95,0.67
2024-02-05,10:00,February,Spring,V-Shape,62,875.21,30.45,55.33,73.72,1.33,58.98,1.11,65.74,0.67
2024-02-05,10:15,February,Spring,V-Shape,62,875.21,30.45,55.33,73.72,1.33,58.98,1.11,65.74,0.67
2024-02-05,10:30,February,Spring,V-Shape,62,875.21,30.45,55.33,73.72,1.33,58.98,1.11,65.74,0.67
2024-02-05,10:45,February,Spring,V-Shape,62,875.21,30.45,55.33,73.72,1.33,58.98,1.11,65.74,0.67
2024-02-05,11:00,February,Spring,V-Shape,62,984.87,31.86,59.48,72.41,1.5,57.93,1.26,72.96,0.67
2024-02-05,11:15,February,Spring,V-Shape,62,984.87,31.86,59.48,72.41,1.5,57.93,1.26,72.96,0.67
2024-02-05,11:30,February,Spring,V-Shape,62,984.87,31.86,59.48,72.41,1.5,57.93,1.26,72.96,0.67
2024-02-05,11:45,February,Spring,V-Shape,62,984.87,31.86,59.48,72.41,1.5,57.93,1.26,72.96,0.67
2024-02-05,12:00,February,Spring,V-Shape,62,991.76,32.71,60.5,72.09,1.52,57.67,1.27,73.21,0.67
2024-02-05,12:15,February,Spring,V-Shape,62,991.76,32.71,60.5,72.09,1.52,57.67,1.27,73.21,0.67
2024-02-05,12:30,February,Spring,V-Shape,62,991.76,32.71,60.5,72.09,1.52,57.67,1.27,73.21,0.67
2024-02-05,12:45,February,Spring,V-Shape,62,991.76,32.71,60.5,72.09,1.52,57.67,1.27,73.21,0.67
2024-02-05,13:00,February,Spring,V-Shape,62,905.75,33.01,58.65,72.67,1.38,58.14,1.16,67.28,0.67
2024-02-05,13:15,February,Spring,V-Shape,62,905.75,33.01,58.65,72.67,1.38,58.14,1.16,67.28,0.67
2024-02-05,13:30,February,Spring,V-Shape,62,905.75,33.01,58.65,72.67,1.38,58.14,1.16,67.28,0.67
2024-02-05,13:45,February,Spring,V-Shape,62,905.75,33.01,58.65,72.67,1.38,58.14,1.16,67.28,0.67
2024-02-05,14:00,February,Spring,V-Shape,62,746.45,32.86,54.52,73.98,1.13,59.18,0.95,56.22,0.67
2024-02-05,14:15,February,Spring,V-Shape,62,746.45,32.86,54.52,73.98,1.13,59.18,0.95,56.22,0.67
2024-02-05,14:30,February,Spring,V-Shape,62,746.45,32.86,54.52,73.98,1.13,59.18,0.95,56.22,0.67
2024-02-05,14:45,February,Spring,V-Shape,62,746.45,32.86,54.52,73.98,1.13,59.18,0.95,56.22,0.67
